player,playerLabel,dateOfBirth,teamLabels,awardLabels
http://www.wikidata.org/entity/Q15409290,Devin Booker,1991-02-28T00:00:00Z,"Élan Chalon, SLUC Nancy Basket, JL Bourg-en-Bresse, Clemson Tigers men's basketball",LNB Pro A MVP
http://www.wikidata.org/entity/Q15486689,John J. Tigert,1882-02-11T00:00:00Z,"Vanderbilt Commodores men's basketball, Vanderbilt Commodores football","College Football Hall of Fame, Rhodes Scholarship"
http://www.wikidata.org/entity/Q15696421,Galina Kozjevnikova,1956-05-15T00:00:00Z,WBC Dynamo Novosibirsk,"Master of Sport of the USSR, International Class"
http://www.wikidata.org/entity/Q15989185,Oskar Roth,1933-02-23T00:00:00Z,Germany men's national basketball team,Silbernes Lorbeerblatt
http://www.wikidata.org/entity/Q16002993,Hugh Greer,1902-01-01T00:00:00Z,UConn Huskies men's basketball,Huskies of Honor
http://www.wikidata.org/entity/Q16013078,Kevin Roberson,1970-10-25T00:00:00Z,Vermont Catamounts men's basketball,America East Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q16018294,Red Stroud,1941-05-02T00:00:00Z,"New Orleans Buccaneers, Mississippi State Bulldogs men's basketball",Mississippi Sports Hall of Fame
http://www.wikidata.org/entity/Q16150000,Ryan Arcidiacono,1994-03-26T00:00:00Z,"Chicago Bulls, Villanova Wildcats men's basketball","NCAA Basketball Tournament Most Outstanding Player, Big East Conference Men's Basketball Player of the Year"
http://www.wikidata.org/entity/Q16209771,Alex Bentley,1990-10-27T00:00:00Z,"Atlanta Dream, Connecticut Sun, Tarbes Gespe Bigorre, UMMC Ekaterinburg, Dynamo Kursk, Nadezhda Orenburg, Tarsus Belediyesi, Ben Davis High School, Elizur Holon (women's basketball), Penn State Lady Lions basketball, Yakın Doğu Üniversitesi (women's basketball), Çukurova Basketbol, Sport Club do Recife","Frances Pomeroy Naismith Award, WNBA All-Rookie Team"
http://www.wikidata.org/entity/Q16213187,Karl Smesko,1970-10-02T00:00:00Z,Kent State Golden Flashes,Kay Yow Award
http://www.wikidata.org/entity/Q16226406,A'dia Mathies,1991-05-18T00:00:00Z,Los Angeles Sparks,Southeastern Conference Women's Basketball Player of the Year
